"","maxtempC","mintempC","sunHour","uvIndex","moon_illumination","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","AQI","AQI_Explained","date_time","moonrise","moonset","sunrise","sunset"
"1",15,5,8.7,4,0,-1,11,12,11,17,0,43,0,1021,15,10,242,12,319,"Hazardous",16071,372,304,412,303
"2",14,7,8.7,4,2,4,11,13,11,21,3,60,0,1019,14,10,141,14,352,"Hazardous",16072,430,372,413,304
"3",16,9,8.7,4,10,3,11,12,11,21,26,55,0,1017,16,10,295,14,338,"Hazardous",16073,482,442,413,305
"4",10,4,5.5,2,17,3,7,9,7,17,24,68,0.1,1022,10,10,169,14,355,"Hazardous",16074,529,509,413,305
"5",10,3,8.7,3,24,3,9,9,9,9,12,66,0,1024,10,10,117,6,343,"Hazardous",16075,572,575,413,306
"6",11,5,8.7,3,31,5,7,9,7,27,4,73,0,1024,11,10,120,19,287,"Very unhealthy",16076,611,637,413,307
"7",12,9,5.5,3,39,8,8,10,8,23,68,88,0.2,1019,12,9,200,15,177,"Unhealthy",16077,650,699,413,308
"8",9,4,4,2,46,5,4,8,4,33,83,82,0,1024,9,10,294,23,300,"Very unhealthy",16078,688,699,413,309
"9",5,2,8.7,2,53,-2,1,4,1,20,12,63,0,1033,5,10,158,16,253,"Very unhealthy",16079,725,757,414,309
"10",7,1,8.7,2,61,0,4,6,4,15,18,63,0,1033,7,10,93,11,223,"Very unhealthy",16080,765,94,414,310
"11",7,5,4,2,68,3,3,6,3,23,100,81,1.7,1031,7,6,81,15,300,"Very unhealthy",16081,87,149,414,311
"12",9,4,5.5,2,75,2,3,6,3,21,64,78,3,1031,9,9,96,14,305,"Hazardous",16082,131,203,413,312
"13",6,3,7.1,1,82,0,2,5,2,22,78,69,0,1032,6,10,26,16,325,"Hazardous",16083,178,254,413,313
"14",7,2,7.1,2,90,0,2,5,2,18,19,67,0.1,1032,7,10,13,14,247,"Very unhealthy",16084,228,302,413,314
"15",7,1,8.7,2,97,0,4,6,4,14,2,64,0,1034,7,10,161,11,153,"Unhealthy",16085,278,347,413,315
"16",10,2,8.7,3,100,3,6,7,6,13,16,73,0,1029,10,10,123,9,213,"Very unhealthy",16086,331,389,413,315
"17",11,4,8.7,2,89,3,8,9,8,9,30,71,0,1027,11,10,208,6,328,"Hazardous",16087,383,428,413,316
"18",8,3,8.7,3,81,1,4,7,4,20,3,69,0,1034,8,10,338,15,338,"Hazardous",16088,436,464,413,317
"19",9,1,8.7,3,74,3,7,9,7,15,1,69,0,1030,9,10,148,11,367,"Hazardous",16089,489,498,412,318
"20",11,3,8.7,2,67,-4,4,7,4,28,17,46,0,1028,11,10,271,19,345,"Hazardous",16090,542,532,412,319
"21",6,0,8.7,2,59,-8,1,5,1,19,0,42,0,1032,6,10,257,16,382,"Hazardous",16091,596,565,412,320
"22",5,-1,8.7,2,52,-6,5,6,5,8,0,42,0,1031,5,10,249,7,302,"Hazardous",16092,651,598,411,321
"23",10,2,8.7,3,45,1,4,7,4,24,0,63,0,1024,10,10,155,18,309,"Hazardous",16093,708,634,411,322
"24",15,5,8.7,3,38,4,8,10,8,35,24,66,0,1018,15,10,173,20,280,"Very unhealthy",16094,708,673,411,323
"25",16,8,8.7,3,30,5,9,11,9,33,26,66,0.1,1020,16,10,207,22,217,"Very unhealthy",16095,767,716,410,324
"26",9,5,5.6,2,23,0,4,7,4,24,59,61,0,1029,9,10,36,18,326,"Hazardous",16096,109,764,410,324
"27",12,4,8.7,3,16,3,7,9,7,20,17,68,0,1024,12,10,145,14,197,"Unhealthy",16097,170,99,409,325
"28",14,6,8.7,4,9,5,8,10,8,19,20,72,0,1024,14,10,84,13,162,"Unhealthy",16098,232,160,409,326
"29",12,7,5.6,3,1,8,9,10,9,18,70,88,1.1,1020,12,10,180,13,305,"Hazardous",16099,291,226,408,327
"30",17,8,8.7,4,0,10,13,14,13,13,16,81,0,1019,17,8,243,9,316,"Hazardous",16100,346,295,408,328
"31",17,8,8.7,4,0,9,11,13,11,35,19,82,0,1019,17,10,143,21,385,"Hazardous",16101,396,364,407,329
"32",24,13,8.7,5,6,12,17,18,17,30,18,73,0,1013,24,10,238,17,362,"Hazardous",16102,442,433,406,330
"33",17,11,8.7,4,14,11,15,15,15,13,15,78,0,1012,17,10,147,9,315,"Hazardous",16103,484,499,406,331
"34",10,4,4.1,2,21,4,4,8,4,32,83,78,0.1,1018,10,10,29,23,389,"Hazardous",16104,525,564,405,332
"35",6,3,8.7,2,29,-4,0,4,0,26,31,55,0,1027,6,10,36,20,303,"Hazardous",16105,565,625,405,332
"36",6,4,4.1,2,36,3,2,6,2,30,94,80,1.2,1023,6,9,88,20,150,"Unhealthy for sensitive groups",16106,604,685,404,333
"37",9,8,4.1,2,44,8,6,9,6,28,100,94,5.7,1018,9,7,54,19,125,"Unhealthy for sensitive groups",16107,644,685,403,334
"38",7,3,4.1,2,51,4,2,6,2,33,100,89,0.9,1018,7,8,145,23,138,"Unhealthy for sensitive groups",16108,686,742,402,335
"39",6,1,5.6,1,59,-1,-1,3,-1,26,65,76,0,1022,6,10,336,19,150,"Unhealthy for sensitive groups",16109,729,77,402,336
"40",3,0,4.1,1,66,-2,-3,2,-3,35,89,75,0.5,1026,3,8,219,25,301,"Hazardous",16110,776,129,401,337
"41",3,-1,8.7,1,74,-5,-5,0,-5,34,55,66,0.2,1029,3,9,337,25,305,"Hazardous",16111,104,179,400,338
