"","x"
"1",364.716624637895
"2",317.178027619328
"3",349.02704861497
"4",323.97599925081
"5",340.614630445941
"6",289.225637816442
"7",285.315019159386
"8",276.762446126923
"9",286.343366229444
"10",305.65910772989
"11",243.737369672447
"12",278.479518930454
"13",257.249873116339
"14",290.584707566819
"15",314.479151684802
"16",323.830374915419
"17",344.187186897111
"18",302.160128953552
"19",311.344071032114
"20",335.848879072904
"21",333.872754697586
"22",360.468361871087
"23",325.960725119213
"24",336.39817474488
"25",307.304896921139
"26",274.280784419911
"27",319.373131614649
"28",311.222172681025
"29",296.280010934307
"30",333.85450095917
"31",294.684750888558
"32",335.653665910484
"33",337.092676421385
"34",280.471385238477
"35",282.225571831029
"36",257.310666569436
"37",250.501154818244
"38",265.65154927146
"39",324.67147402856
"40",257.51208021619
"41",291.938584813636
"42",324.524644607427
"43",268.272887427027
"44",255.422404483248
"45",307.897735085208
"46",330.051690955841
"47",275.309706603377
"48",270.447073582611
"49",255.559090037555
"50",293.348921376633
"51",317.983190631705
"52",302.403282798478
"53",285.120628002386
"54",285.876495842867
"55",270.0304362399
"56",224.094696621124
"57",272.073466815746
"58",300.353178121643
"59",257.609570867166
"60",269.736316356755
"61",303.087326464864
"62",274.998423015938
"63",279.268066401055
"64",281.133762135045
"65",274.20850242672
"66",290.873504819439
"67",289.297653260566
"68",343.091089900168
"69",306.260124002318
"70",261.454453323427
"71",299.576951543835
"72",318.062031055998
"73",331.778755494018
"74",326.631530546341
"75",294.245763983202
"76",315.688686167658
"77",330.497090472862
"78",267.585962516696
"79",291.021136210277
"80",321.302697020539
"81",302.101314289094
"82",253.14207064999
"83",236.445987906224
"84",296.273540551998
"85",298.270197664069
"86",264.020974431528
"87",257.411995759627
"88",284.34551807306
"89",306.530436411338
"90",285.789606488557
"91",299.771809251927
"92",287.667091116393
"93",295.667880219695
"94",351.629909533467
"95",323.295187398468
"96",299.82951418352
"97",269.28049198927
"98",281.458205424324
"99",277.886355587836
"100",291.013041162453
"101",267.654911043907
"102",261.587395626586
"103",257.98031343085
"104",282.048582226667
"105",260.811001387851
"106",260.316570881119
"107",317.554115879196
"108",245.220122020981
"109",225.522302460653
"110",246.30435492911
"111",256.800542415674
"112",288.009156168541
"113",298.158123583031
"114",245.289312843747
"115",215.930827745557
"116",186.183190303182
"117",245.053670618558
"118",241.174404081468
"119",302.592598254917
"120",319.397770014732
"121",294.234386288757
"122",297.012301142799
