"","date","maxtempC","mintempC","totalSnow_cm","sunHour","uvIndex","moon_illumination","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","AQI","AQI_Explained","date_time","moonrise","moonset","sunrise","sunset","location"
"1","2014-01-01",15,5,0,8.7,4,0,-1,11,12,11,17,0,43,0,1021,15,10,242,12,319,"Hazardous","2014-01-01","06:12 AM","05:04 PM","06:52 AM","05:03 PM","shanghai"
"2","2014-01-02",14,7,0,8.7,4,2,4,11,13,11,21,3,60,0,1019,14,10,141,14,352,"Hazardous","2014-01-02","07:10 AM","06:12 PM","06:53 AM","05:04 PM","shanghai"
"3","2014-01-03",16,9,0,8.7,4,10,3,11,12,11,21,26,55,0,1017,16,10,295,14,338,"Hazardous","2014-01-03","08:02 AM","07:22 PM","06:53 AM","05:05 PM","shanghai"
"4","2014-01-04",10,4,0,5.5,2,17,3,7,9,7,17,24,68,0.1,1022,10,10,169,14,355,"Hazardous","2014-01-04","08:49 AM","08:29 PM","06:53 AM","05:05 PM","shanghai"
"5","2014-01-05",10,3,0,8.7,3,24,3,9,9,9,9,12,66,0,1024,10,10,117,6,343,"Hazardous","2014-01-05","09:32 AM","09:35 PM","06:53 AM","05:06 PM","shanghai"
"6","2014-01-06",11,5,0,8.7,3,31,5,7,9,7,27,4,73,0,1024,11,10,120,19,287,"Very unhealthy","2014-01-06","10:11 AM","10:37 PM","06:53 AM","05:07 PM","shanghai"
"7","2014-01-07",12,9,0,5.5,3,39,8,8,10,8,23,68,88,0.2,1019,12,9,200,15,177,"Unhealthy","2014-01-07","10:50 AM","11:39 PM","06:53 AM","05:08 PM","shanghai"
"8","2014-01-08",9,4,0,4,2,46,5,4,8,4,33,83,82,0,1024,9,10,294,23,300,"Very unhealthy","2014-01-08","11:28 AM","No moonset","06:53 AM","05:09 PM","shanghai"
"9","2014-01-09",5,2,0,8.7,2,53,-2,1,4,1,20,12,63,0,1033,5,10,158,16,253,"Very unhealthy","2014-01-09","12:05 PM","12:37 AM","06:54 AM","05:09 PM","shanghai"
"10","2014-01-10",7,1,0,8.7,2,61,0,4,6,4,15,18,63,0,1033,7,10,93,11,223,"Very unhealthy","2014-01-10","12:45 PM","01:34 AM","06:54 AM","05:10 PM","shanghai"
"11","2014-01-11",7,5,0,4,2,68,3,3,6,3,23,100,81,1.7,1031,7,6,81,15,300,"Very unhealthy","2014-01-11","01:27 PM","02:29 AM","06:54 AM","05:11 PM","shanghai"
"12","2014-01-12",9,4,0,5.5,2,75,2,3,6,3,21,64,78,3,1031,9,9,96,14,305,"Hazardous","2014-01-12","02:11 PM","03:23 AM","06:53 AM","05:12 PM","shanghai"
"13","2014-01-13",6,3,0,7.1,1,82,0,2,5,2,22,78,69,0,1032,6,10,26,16,325,"Hazardous","2014-01-13","02:58 PM","04:14 AM","06:53 AM","05:13 PM","shanghai"
"14","2014-01-14",7,2,0,7.1,2,90,0,2,5,2,18,19,67,0.1,1032,7,10,13,14,247,"Very unhealthy","2014-01-14","03:48 PM","05:02 AM","06:53 AM","05:14 PM","shanghai"
"15","2014-01-15",7,1,0,8.7,2,97,0,4,6,4,14,2,64,0,1034,7,10,161,11,153,"Unhealthy","2014-01-15","04:38 PM","05:47 AM","06:53 AM","05:15 PM","shanghai"
"16","2014-01-16",10,2,0,8.7,3,100,3,6,7,6,13,16,73,0,1029,10,10,123,9,213,"Very unhealthy","2014-01-16","05:31 PM","06:29 AM","06:53 AM","05:15 PM","shanghai"
"17","2014-01-17",11,4,0,8.7,2,89,3,8,9,8,9,30,71,0,1027,11,10,208,6,328,"Hazardous","2014-01-17","06:23 PM","07:08 AM","06:53 AM","05:16 PM","shanghai"
"18","2014-01-18",8,3,0,8.7,3,81,1,4,7,4,20,3,69,0,1034,8,10,338,15,338,"Hazardous","2014-01-18","07:16 PM","07:44 AM","06:53 AM","05:17 PM","shanghai"
"19","2014-01-19",9,1,0,8.7,3,74,3,7,9,7,15,1,69,0,1030,9,10,148,11,367,"Hazardous","2014-01-19","08:09 PM","08:18 AM","06:52 AM","05:18 PM","shanghai"
"20","2014-01-20",11,3,0,8.7,2,67,-4,4,7,4,28,17,46,0,1028,11,10,271,19,345,"Hazardous","2014-01-20","09:02 PM","08:52 AM","06:52 AM","05:19 PM","shanghai"
"21","2014-01-21",6,0,0,8.7,2,59,-8,1,5,1,19,0,42,0,1032,6,10,257,16,382,"Hazardous","2014-01-21","09:56 PM","09:25 AM","06:52 AM","05:20 PM","shanghai"
"22","2014-01-22",5,-1,0,8.7,2,52,-6,5,6,5,8,0,42,0,1031,5,10,249,7,302,"Hazardous","2014-01-22","10:51 PM","09:58 AM","06:51 AM","05:21 PM","shanghai"
"23","2014-01-23",10,2,0,8.7,3,45,1,4,7,4,24,0,63,0,1024,10,10,155,18,309,"Hazardous","2014-01-23","11:48 PM","10:34 AM","06:51 AM","05:22 PM","shanghai"
"24","2014-01-24",15,5,0,8.7,3,38,4,8,10,8,35,24,66,0,1018,15,10,173,20,280,"Very unhealthy","2014-01-24","No moonrise","11:13 AM","06:51 AM","05:23 PM","shanghai"
"25","2014-01-25",16,8,0,8.7,3,30,5,9,11,9,33,26,66,0.1,1020,16,10,207,22,217,"Very unhealthy","2014-01-25","12:47 AM","11:56 AM","06:50 AM","05:24 PM","shanghai"
"26","2014-01-26",9,5,0,5.6,2,23,0,4,7,4,24,59,61,0,1029,9,10,36,18,326,"Hazardous","2014-01-26","01:49 AM","12:44 PM","06:50 AM","05:24 PM","shanghai"
"27","2014-01-27",12,4,0,8.7,3,16,3,7,9,7,20,17,68,0,1024,12,10,145,14,197,"Unhealthy","2014-01-27","02:50 AM","01:39 PM","06:49 AM","05:25 PM","shanghai"
"28","2014-01-28",14,6,0,8.7,4,9,5,8,10,8,19,20,72,0,1024,14,10,84,13,162,"Unhealthy","2014-01-28","03:52 AM","02:40 PM","06:49 AM","05:26 PM","shanghai"
"29","2014-01-29",12,7,0,5.6,3,1,8,9,10,9,18,70,88,1.1,1020,12,10,180,13,305,"Hazardous","2014-01-29","04:51 AM","03:46 PM","06:48 AM","05:27 PM","shanghai"
"30","2014-01-30",17,8,0,8.7,4,0,10,13,14,13,13,16,81,0,1019,17,8,243,9,316,"Hazardous","2014-01-30","05:46 AM","04:55 PM","06:48 AM","05:28 PM","shanghai"
"31","2014-01-31",17,8,0,8.7,4,0,9,11,13,11,35,19,82,0,1019,17,10,143,21,385,"Hazardous","2014-01-31","06:36 AM","06:04 PM","06:47 AM","05:29 PM","shanghai"
"32","2014-02-01",24,13,0,8.7,5,6,12,17,18,17,30,18,73,0,1013,24,10,238,17,362,"Hazardous","2014-02-01","07:22 AM","07:13 PM","06:46 AM","05:30 PM","shanghai"
"33","2014-02-02",17,11,0,8.7,4,14,11,15,15,15,13,15,78,0,1012,17,10,147,9,315,"Hazardous","2014-02-02","08:04 AM","08:19 PM","06:46 AM","05:31 PM","shanghai"
